,epreuve,normal,team,group,licensed,country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
snowboard,Mixed Team Snowboard Cross_2,1,2,2,1,1,0,0,0,0,0,0,0,0,CAN,0,0,0,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowboard,Mixed Team Snowboard Cross_3,1,2,2,1,1,0,0,0,0,0,0,0,0,FRA,0,0,0,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowboard,Mixed Team Snowboard Cross_4,1,2,2,1,1,0,0,0,0,0,0,0,0,USA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowboard,Women's Snowboard Halfpipe_1,1,1,1,1,1,USA,ESP,JPN,CHN,JPN,CAN,SUI,CHN,JPN,CAN,Germany,CHN,USA,AUS,JPN,USA,USA,CZE,HUN,KOR,MLT,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowboard,Men's Snowboard Halfpipe_1,1,1,1,1,1,JPN,AUS,SUI,USA,USA,AUS,USA,Germany,JPN,JPN,SUI,JPN,ITA,CHN,IRL,CHN,USA,KOR,ITA,FRA,CHN,SLO,CAN,SUI,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowboard,Women's Snowboard Slopestyle_1,1,1,1,1,1,NZL,USA,AUS,CAN,JPN,AUT,FIN,Germany,USA,JPN,USA,SUI,NLD,BEL,CAN,NOR,USA,GBR,JPN,SUI,FIN,CAN,NZL,SLO,CHN,CZE,FRA,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowboard,Men's Snowboard Slopestyle_1,1,1,1,1,1,CAN,CHN,CAN,USA,ITA,USA,NOR,JPN,CAN,JPN,NOR,USA,FIN,NOR,ROC,Germany,USA,NZL,JPN,SUI,JPN,NLD,CAN,SWE,SUI,AUS,AUT,FIN,Germany,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowboard,Women's Snowboard Big Air_1,1,1,1,1,1,AUT,NZL,JPN,JPN,CHN,NLD,CAN,CAN,AUS,Germany,JPN,USA,SUI,CZE,USA,SVK,HUN,SLO,USA,FIN,CAN,FIN,SUI,BEL,GBR,ROC,NOR,CRO,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowboard,Men's Snowboard Big Air_1,1,1,1,1,1,CHN,NOR,CAN,JPN,USA,NLD,USA,NOR,JPN,CAN,SWE,CAN,FIN,SUI,JPN,NOR,USA,FIN,ROC,SWE,USA,ITA,NZL,Germany,Germany,CAN,SUI,AUS,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Women's 500m_1,1,1,1,1,1,USA,JPN,ROC,AUT,NLD,NLD,KOR,ROC,POL,ROC,POL,CHN,NLD,CHN,JPN,USA,JPN,USA,BLR,KAZ,CAN,CAN,NOR,NOR,CZE,TPE,CAN,BEL,ROU,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Women's 1000m_1,1,1,1,1,1,JPN,NLD,USA,ROC,NLD,NLD,USA,AUT,ROC,JPN,KAZ,CAN,ROC,CHN,CHN,KOR,POL,NOR,KAZ,POL,BLR,CHN,GBR,TPE,KOR,CAN,CZE,BEL,ROU,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Women's 1500m_1,1,1,1,1,1,NLD,JPN,NLD,JPN,NLD,ITA,ROC,JPN,ROC,USA,CHN,NOR,CAN,KAZ,CHN,BLR,CHN,KAZ,POL,USA,CZE,ROC,BLR,CAN,Germany,TPE,GBR,NOR,BEL,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Women's 3000m_1,1,1,1,1,1,NLD,ITA,CAN,CZE,NOR,JPN,NLD,NLD,JPN,ROC,ROC,CAN,KAZ,CAN,CHN,BLR,CHN,CZE,USA,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Women's 5000m_1,1,1,1,1,1,NLD,CAN,CZE,ITA,NOR,ROC,NLD,JPN,BLR,JPN,CHN,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Women's Mass Start_1,1,1,1,1,1,NLD,CAN,ITA,USA,KOR,CAN,BLR,JPN,Germany,POL,NLD,USA,CHN,KAZ,ROC,CHN,POL,BLR,ROC,Germany,SUI,COL,NOR,BEL,NOR,KOR,JPN,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Women's Team Pursuit_1,1,1,1,1,1,CAN,JPN,NLD,ROC,CHN,NOR,BLR,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Men's 500m_1,1,1,1,1,1,CHN,KOR,JPN,CAN,POL,KOR,ROC,JPN,ROC,ROC,POL,NLD,USA,NLD,NOR,POL,NOR,NLD,ITA,JPN,CAN,0,ITA,EST,GBR,Germany,USA,KAZ,CAN,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Men's 500m_2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Men's 1000m_1,1,1,1,1,1,NLD,CAN,NOR,POL,CHN,BLR,EST,ROC,GBR,NLD,ROC,CAN,POL,USA,ITA,JPN,KAZ,KOR,CHN,JPN,JPN,CAN,KAZ,KOR,NOR,Germany,BEL,NOR,USA,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Men's 1500m_1,1,1,1,1,1,NLD,NLD,KOR,NOR,CAN,USA,CHN,ROC,NLD,JPN,USA,NOR,BEL,ROC,ROC,NOR,JPN,KAZ,GBR,CHN,KOR,CAN,CAN,LAT,ITA,NZL,CHN,USA,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Men's 5000m_1,1,1,1,1,1,SWE,NLD,NOR,ROC,NLD,ROC,BEL,ITA,NLD,CAN,Germany,JPN,Germany,ROC,ITA,USA,USA,SUI,DNK,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Men's 10000m_1,1,1,1,1,1,SWE,NLD,ITA,NLD,ROC,CAN,Germany,CAN,ITA,BEL,JPN,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Men's Mass Start_1,1,1,1,1,1,BEL,KOR,KOR,USA,ROC,JPN,SUI,JPN,NLD,AUT,ITA,CHN,CAN,NOR,CAN,NLD,LAT,NZL,KAZ,ITA,DNK,POL,CHN,BLR,DNK,USA,POL,NOR,ROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed-skating,Men's Team Pursuit_1,1,3,3,1,1,NOR,ROC,USA,NLD,CAN,KOR,ITA,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
