,olympic_game,type,discipline,event,event_step,normal,team,group,licensed,country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
30,tokyo-2020,olympic,canoe-sprint,women-s-kayak-four-500m,women-s-kayak-four-500m_1,1,1,1,1,Hungary,Belarus,Poland,New Zealand,Germany,People's Republic of China,Australia,Denmark,France,Ukraine,Canada,ROC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,tokyo-2020,olympic,canoe-sprint,men-s-canoe-single-1000m,men-s-canoe-single-1000m_1,1,1,1,1,BRA,CHN,MDA,FRA,CZE,GER,CUB,CHN,CUB,GER,ROU,UKR,POL,CAN,HUN,UKR,POL,ESP,ROC,CZE,ROU,BRA,ROC,KAZ,HUN,CAN,ESP,TUN,JPN,STP,MOZ,STP,SAM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,tokyo-2020,olympic,canoe-sprint,men-s-kayak-single-1000m,men-s-kayak-single-1000m_1,1,1,1,1,HUN,HUN,POR,GER,CZE,CHN,AUS,ARG,ITA,BEL,AUS,BLR,ROC,SVK,FRA,SRB,ROC,NOR,BRA,CAN,EOR,FRA,IRI,TUN,BIZ,SAM,COK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,tokyo-2020,olympic,canoe-sprint,men-s-kayak-single-200m,men-s-kayak-single-200m_1,1,1,1,1,HUN,ITA,GBR,HUN,ESP,SWE,ESP,LAT,FRA,LTU,SRB,ROC,KOR,CAN,ARG,JPN,CAN,0,CHN,SRB,EGY,SAM,BIZ,SAM,COK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,tokyo-2020,olympic,cycling-road,women-s-road-race,women-s-road-race_1,1,1,1,1,AUT,NED,ITA,BEL,NED,GER,USA,ITA,UZB,DEN,GBR,ESP,RSA,POL,NED,CAN,BLR,POL,SLO,LUX,JPN,COL,GER,ISR,NED,AUS,POL,ESP,USA,FRA,USA,CAN,CZE,CUB,LTU,CAN,NOR,KOR,ROC,AUS,GER,BEL,JPN,ITA,USA,SUI,AUS,ITA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,tokyo-2020,olympic,cycling-road,women-s-individual-time-trial,women-s-individual-time-trial_1,1,1,1,1,NED,SUI,NED,AUS,USA,GER,USA,RSA,FRA,ITA,AUS,CAN,GER,CAN,ISR,BLR,DEN,GBR,BEL,NOR,LUX,JPN,ESP,POL,EOR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,tokyo-2020,olympic,cycling-road,men-s-individual-time-trial,men-s-individual-time-trial_1,1,1,1,1,SLO,NED,AUS,SUI,ITA,BEL,DEN,COL,BEL,NZL,ITA,GBR,CAN,RSA,GER,POR,FRA,POL,GER,ROC,POR,EST,NOR,USA,NZL,CZE,AUS,IRL,GBR,LAT,AUT,KAZ,ERI,USA,IRI,ALG,SVK,EOR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,tokyo-2020,olympic,cycling-road,men-s-road-race,men-s-road-race_1,1,1,1,1,ECU,BEL,SLO,NED,CAN,USA,FRA,COL,GBR,GER,POL,DEN,POR,ITA,NED,IRL,GBR,AUT,POL,ITA,KAZ,LAT,ESP,ITA,SUI,NZL,FRA,SLO,GER,AUT,SUI,ROC,LAT,NOR,JPN,CZE,LUX,FRA,MEX,SUI,POR,ESP,SLO,NED,COL,EST,ECU,AUS,BEL,ERI,NED,RSA,ITA,GER,ERI,UKR,FRA,BEL,ROC,ITA,NOR,ESP,GRE,UZB,CAN,BLR,SLO,CRC,COL,AUT,AUS,AUS,LUX,SUI,IRL,IRL,BEL,DEN,ESP,USA,COL,NOR,NOR,JPN,CAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,tokyo-2020,olympic,football,women,women_1,1,1,1,1,Canada,Sweden,United States of America,Australia,Netherlands,Brazil,Great Britain,Japan,Zambia,People's Republic of China,Chile,New Zealand,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,tokyo-2020,olympic,football,men,men_1,1,1,1,1,Brazil,Spain,Mexico,Japan,Republic of Korea,New Zealand,Côte d'Ivoire,Egypt,Germany,Argentina,Romania,Australia,France,Honduras,Saudi Arabia,South Africa,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
